lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
130	5905669542227	MARYENSZTADT WUNDERBAR 13	LAGER	MARYENSZTADT	37	5,91	4,60	Po≥πczenie klasycznego pilsnera z amerykaÒskπ chmielowπ rewolucjπ. W aromacie owoce tropikalne i cytrusy, charakterystyczne dla chmielu Mosaic. W smaku nuty s≥odowe i solidna goryczka.	5,4 g	13 g	American Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\Wunderbar 13 nowa 1600.jpg__resize__1600.jpg 
131	5905669542142	MARYENSZTADT ØYWOT BARLEYA	INNE	MARYENSZTADT	32	7,54	5,90	Nasz imperialny stout to po≥πczenie belgijskich droødøy, holenderskich s≥odÛw palonych oraz polskich chmieli. W smaku dominujπ nuty czekoladowe i kawowe, ktÛre doskonale rÛwnowaøπ siÍ z solidnπ goryczkπ.	9,2 g	22 g	Barley Wine	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\ØYWOT BARLEYA 1600.jpg__resize__1600.jpg 
132	59074311705120	NAKED CITY	IPA	RADUGA		5,97	5,97					
133	5905279959637	NEPOMUCEN ACIDO	INNE	NEPOMUCEN	1	5,52	4,30					
134	5905279959651	NEPOMUCEN BLISS	PORTER	NEPOMUCEN	43	5,98	4,65	Bardzo ciemny Brown Porter z intensywnym aromatem czekolady oraz orzechÛw pochodzπcym zarÛwno od s≥odÛw jak i uøytych ziaren kakaowca oraz orzechÛw laskowych.	5,2 g	16,5 g	Porter z czekoladπ i orzechami	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\bliss.jpg 
135	5905279959330	NEPOMUCEN BREAK 	IPA	NEPOMUCEN	31	6,11	4,77	P≥atki owsiane z amerykaÒskim chmielem. To po≥πczenie zaskoczy CiÍ g≥adkoúciπ, aromatem ale i sporπ dozπ goryczki. WyprÛbuj Oatmeal IPA i rozsmakuj siÍ. 	5,7 g	15,1 g	Oatmeal IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\break.jpg 
136	5905279959248	NEPOMUCEN EVEN	STOUT	NEPOMUCEN	3	5,26	4,10					
137	5905279959088	NEPOMUCEN FARM	WHEAT	NEPOMUCEN		5,39	4,20	17-11-02				
138	5905279959521	NEPOMUCEN FOREST	IPA	NEPOMUCEN	25	5,91	4,60	Warzymy w piÍknym miejscu, to i leúne nuty pojawiajπ siÍ w naszym piwie. WyprÛbuj IPA z dodatkiem ga≥πzek sosny, úwierku i jod≥y. Poczuj las i jego potrÛjnπ moc.	6 g	15,1 g	Forest IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\forrest.jpg 
139	5905279959064	NEPOMUCEN GRODZISKIE	INNE	NEPOMUCEN		5,39	4,20	17-11-18				
